active_power,ambient_temp,wind_speed,wind_direction,sd_wd,turbulence_intensity
0.095682846,-8.348202247,4.661235955,66.43,9.137526893,0.064946027
0.126929963,-8.190449438,5.063595506,75.18730337,1.116216992,0.038007864
0.135606963,-8.014,5.436222222,75.07566667,0.996834371,0.030423194
0.164387715,-5.362359551,5.39258427,75.13202247,1.012591387,0.033230339
0.187555185,-5.034222222,5.797,74.96633333,1.08292825,0.038827464
0.18161206,-6.994044944,5.656292135,75.36696629,0.974087457,0.040932774
0.204829185,-8.189666667,5.866888889,75.23966667,1.018205571,0.055603503
0.209693034,-8.300224719,5.946741573,75.27022472,1.04931577,0.047893598
0.226825259,-8.381,6.018111111,75.226,0.961633442,0.050411515
0.235319704,-8.345,6.170888889,75.308,1.039773312,0.060275877
0.273343221,-8.281011236,6.486404494,75.24258427,0.989434559,0.059992545
0.325560963,-8.305888889,6.866888889,75.45833333,0.916272677,0.048122894
0.311206,-8.289777778,6.767444444,75.33533333,0.907885802,0.05455635
0.314060593,-8.372777778,6.865888889,75.349,0.911726415,0.059838931
0.412610815,-7.866,7.660333333,75.40366667,1.012625301,0.096532008
0.569708571,-5.005714286,8.727142857,75.24357143,0.986193983,0.043798193
0.707300909,-4.9,9.206969697,75.29681818,0.996004571,0.046782782
0.561713708,-4.992921348,8.45988764,75.15966292,1.024916238,0.110863077
0.312895407,-8.108,7.021888889,75.13033333,1.072412433,0.074944964
0.270566889,-8.287222222,6.852222222,75.431,1.00061672,0.075616631
0.2531,-8.247444444,6.512777778,75.103,1.010758365,0.08198784
0.267533933,-6.633483146,6.386404494,76.12640449,3.003753806,0.108373328
0.178883333,-8.025555556,5.746444444,86.13566667,0.421583558,0.089495204
0.108413926,-8.432666667,4.874111111,86.02644444,0.128599292,0.075241226
0.088667852,-8.562333333,4.714333333,86.05366667,0.129653384,0.067661298
0.161837453,-8.558764045,5.559438202,86.04011236,0.184677202,0.114881934
0.235673778,-8.334333333,6.232777778,86.01288889,0.180842252,0.089348972
0.172062247,-8.27494382,5.588089888,86.06764045,0.183334161,0.097421592
0.172587481,-6.013777778,5.686666667,86.04,0,0.120461054
0.218289407,-6.831,6.285111111,86.02655556,0.224194744,0.119027851
0.26918963,-7.092666667,6.435555556,86.02655556,0.224194744,0.115868174
0.355989185,-4.973666667,7.311777778,86.02644444,0.128599292,0.106656915
0.297555704,-4.942222222,6.490222222,86.081,0.288607856,0.087269237
0.36631,-4.820111111,7.462444444,86.08111111,0.342063942,0.118956138
0.345790222,-4.684222222,7.085888889,86.06733333,0.182324566,0.12792188
0.274329926,-4.536333333,6.766555556,86.04,0,0.082464006
0.232659251,-4.53741573,6.112921348,86.08146067,0.223243398,0.098670138
0.212545556,-4.491777778,6.263444444,86.04,0,0.090706126
0.253359704,-4.451666667,6.222555556,86.081,0.222028695,0.087085813
0.183175037,-4.488222222,5.773777778,86.09466667,0.314596942,0.087907456
0.175362667,-4.412777778,5.489444444,86.081,0.222028695,0.116036448
0.204006444,-4.189555556,6.024222222,86.09466667,0.254898967,0.110128389
0.211978052,-4.075280899,5.923483146,81.08370787,4.916615933,0.124928254
0.349134815,-3.911666667,7.160222222,76.19633333,0.129653384,0.150128412
0.354477704,-3.708555556,6.974555556,76.21,0.184384795,0.141180612
0.462047852,-3.449333333,7.829222222,76.21,0.184384795,0.125177069
0.528562397,-3.353258427,8.178651685,72.45123596,3.746700919,0.119279438
0.401862222,-3.267222222,7.158555556,68.70788889,0.41161915,0.178037513
0.302607259,-3.082888889,6.717333333,68.47711111,0.666985916,0.135215145
0.273781778,-2.784444444,6.619555556,68.68077778,0.44208451,0.111016436
0.362902121,-2.678939394,7.123484848,68.58924242,0.615200557,0.104440726
0.343953333,-2.364130435,7.290652174,65.86913043,6.020005104,0.142406268
0.254878718,-2.094615385,6.365384615,65.10230769,3.572612834,0.109138072
0.314338333,-2.310454545,6.9425,52.98977273,1.100654116,0.156730678
0.349463333,-2.345,7.345,53.465,0.869741341,0.012275143
0.281532063,-1.261904762,7.051904762,53.84571429,1.07363202,0.126636867
0.194712,0.235111111,6.033333333,55.96822222,5.250947818,0.138889071
0.159143333,1.516222222,5.436555556,66.25688889,1.380215457,0.123263558
0.179814074,0.831444444,5.868222222,66.37333333,7.343525621,0.103259115
0.216721587,1.109761905,6.448333333,65.26095238,8.029288098,0.171173367
0.32006922,0.467446809,7.100851064,56.59234043,0.848976911,0.13183817
0.292954074,0.670555556,7.128,56.89533333,0.78757229,0.128456348
0.283798296,1.463888889,6.718444444,65.519,2.700151494,0.140775626
0.445458222,1.118333333,7.638444444,72.237,4.845749777,0.169613868
0.49738554,2.491126761,8.346056338,75.15323944,1.489058931,0.144553287
0.491410519,2.848,8.275777778,76.79677778,5.87935654,0.146437628
0.491822667,3.383222222,8.183666667,80.71822222,5.107947229,0.161832769
0.373528593,3.63,7.407777778,76.333,0.45352663,0.109234848
0.267578222,3.909222222,6.452444444,76.44233333,0.635912244,0.11843227
0.135837407,4.561777778,5.325,76.38766667,0.507011624,0.085328589
0.079159551,4.97752809,4.11752809,76.3758427,0.530698102,0.085654917
0.065630889,5.016222222,4.318333333,71.25166667,8.556022158,0.067736612
0.049401273,5.364606742,3.857640449,56.56764045,0.183334161,0.088688849
0.085253926,4.977888889,4.382777778,56.55366667,0.129653384,0.089669424
0.109604148,4.819222222,5.038888889,54.02677778,6.491894138,0.076703746
0.054500519,4.983111111,4.153888889,36.84522222,6.464207109,0.089863224
0.116767037,4.358,5.032555556,56.36233333,0.507011624,0.096323382
0.103331556,4.106666667,4.943111111,56.32133333,0.599683812,0.088448254
0.064710262,2.914494382,4.102808989,76.29179775,12.80704898,0.110620416
0.075986963,1.450777778,4.573444444,84.69411111,1.894613829,0.100188092
0.051583704,1.350111111,4.127555556,80.55533333,7.953154727,0.079512542
0.017550476,2.071666667,3.341547619,67.91047619,2.447404283,0.058260436
0.013521587,0.935833333,3.346190476,82.13583333,8.078290737,0.085450149
0.032418889,0.344444444,3.639,81.46866667,4.402942632,0.10472875
0.194038148,0.228888889,5.859888889,108.0998889,9.659161977,0.194816389
0.362493852,0.297777778,7.333,122.92,0,0.077288532
0.429468074,0.256666667,7.878111111,122.92,0,0.098577966
0.315714831,0.091011236,6.823707865,122.92,0,0.197605787
0.134144148,-0.052222222,5.181333333,113.7594444,1.649599448,0.121726793
0.186498,-0.103333333,5.861444444,113.5546667,0.794734356,0.163040612
0.274740889,-0.131111111,6.288333333,113.5136667,0.741243186,0.167430139
0.274022148,-0.18,6.203444444,108.9763333,2.259455761,0.15217036
0.542080991,-0.214864865,8.161891892,108.3694595,1.798378944,0.22609868
0.873613889,-0.275,9.731666667,118.01,0,0.109868145
0.853783371,-0.261797753,9.63505618,118.01,0,0.181853609
0.797385852,-0.25,9.098222222,112.4886667,1.280703985,0.241346226
0.84909,-0.315,9.45,110.9785,2.53284313,0.222095146
0.861447576,-4.340454545,9.670454545,56.81954545,0.649948549,0.115140206
