wind_speed,wind_direction,active_power,ambient_temp,sd_wd,turbulence_intensity
3.254878049,5.224390244,0.007390081,4.346829268,5.031983729,0.049260751
3.343829787,7.031489362,0.007439433,4.433617021,3.239114196,0.034840507
3.186987952,2.06373494,0.005814137,4.132409639,6.252780983,0.052963878
3.095714286,-0.996938776,0.007548844,4.121020408,3.4368931,0.076322856
3.009493671,-4.662025316,0.009763882,4.051012658,6.867762742,0.040532422
3.341904762,4.941428571,0.010095556,4.187619048,3.598747401,0.045782617
3.947083333,-3.733958333,0.049081806,3.435833333,4.38708246,0.082918054
3.237325581,-9.374651163,0.016020388,3.567093023,10.63641168,0.087889638
3.064705882,-5.231176471,0.012386667,3.590588235,8.132782336,0.056038386
3.147037037,-1.529074074,0.027372099,3.434444444,9.188799225,0.113042855
3.185873016,1.144603175,0.023473968,3.375555556,10.1435948,0.119679398
3.398846154,-9.521153846,0.026328376,3.316025641,11.31321673,0.113957967
3.2015,0.39575,0.011581,3.322,9.077902414,0.053090441
2.902666667,-6.417333333,0.004595333,3.288,6.517961355,0.055423551
2.99625,-2.83,0.009859444,3.4875,6.151474903,0.056294982
3.030344828,3.042586207,0.006722644,3.43,6.986547615,0.058160584
3.3745,1.1755,0.012106333,3.2665,5.258871845,0.065271502
3.7825,4.0225,0.038223333,4,0.169779268,0.011466218
2.778709677,12.69596774,0.007993871,4.068064516,5.173024755,0.071152258
2.884736842,6.913157895,0.002380702,7.989473684,1.458309724,0.040510622
2.787428571,10.45171429,0.006131048,6.837142857,1.536806248,0.040936129
3.271111111,8.705555556,0.010785185,7.04,2.327415184,0.050276073
3.653442623,4.889344262,0.043553005,7.014918033,1.776807876,0.075001944
4.358125,7.656875,0.079865417,5,3.48174232,0.057319661
3.202,-5.4855,0.014354,4.09,5.181701077,0.046575731
3.090851064,-2.656170213,0.007419574,4.09,3.579416125,0.052812206
3.110980392,-6.630392157,0.005709673,4.047647059,5.514183153,0.04521399
3.281538462,14.74615385,0.003490256,4.216923077,4.825994783,0.050905187
3.119666667,-6.240111111,0.014873481,4.219888889,6.734238443,0.065056172
3.363478261,-1.502934783,0.034736377,4.297065217,2.831082012,0.05562242
3.660434783,-4.35423913,0.048117899,4.336413043,2.735256676,0.058822787
3.556086957,-6.596956522,0.045950507,4.369565217,2.77494312,0.05903932
3.295326087,-7.470217391,0.036067899,4.379347826,2.839487254,0.055398428
3.269021739,0.090869565,0.028958986,4.235543478,6.544026998,0.06874687
2.871195652,2.261956522,0.010908768,4.045,8.65188225,0.06528943
2.885882353,0.929117647,0.007879118,4.0825,6.482314341,0.093058276
2.647142857,3.992142857,0.002084286,4.178928571,4.882874349,0.081637694
2.99875,-5.542708333,0.009581389,5.411041667,6.562418709,0.094278356
2.866,-2.276,0.004701333,5.4724,5.810594491,0.06369192
2.874556962,-0.131772152,0.026319156,10.92164557,5.929890767,0.092473436
2.692808989,5.257640449,0.017323071,10.7088764,7.077618697,0.067372126
2.338571429,5.926785714,0.002957857,10.20607143,5.801194675,0.048295789
2.846052632,9.698552632,0.007500351,8.064473684,2.498044411,0.037548295
2.473611111,11.82888889,0.005019444,8.011111111,2.285999347,0.042706338
3.201011236,9.274382022,0.013751011,7.3,2.055332286,0.033660937
3.03,6.990576923,0.006886795,7.3,1.082285913,0.03382023
3.075824176,6.365054945,0.009441245,7.416483516,3.09667003,0.045222976
3.183478261,-3.347065217,0.014639275,7.57923913,6.246794613,0.049983025
3.224673913,-5.795652174,0.017133696,7.634565217,1.78695905,0.052769494
3.59826087,-3.546304348,0.038935,7.722608696,2.116553137,0.039837538
3.338369565,3.962717391,0.014783333,7.637934783,1.845955545,0.038155902
3.201195652,5.63326087,0.006639565,7.635652174,2.981978143,0.035360985
2.74509434,3.11490566,0.005251698,7.561132075,3.11830367,0.078149754
2.773625,8.01775,0.007448,7.485,3.292964105,0.057918559
2.962608696,5.3925,0.013867681,7.538152174,2.553065223,0.083327768
3.406195652,0.504130435,0.017632174,7.642608696,8.247797728,0.068153915
2.856071429,-10.23607143,0.00406619,7.663928571,5.394474772,0.054547866
4.261509434,4.050377358,0.058803899,8.787358491,1.892542005,0.045916752
4.471304348,3.439673913,0.070028116,8.622173913,2.342830284,0.047191496
3.805543478,-2.788478261,0.045969348,8.57076087,6.599396898,0.101052623
2.919673913,7.96576087,0.015881884,8.535869565,3.329708509,0.059216396
