"time","wind_speed","wind_direction","ambient_temp","terrain","active_power","stdeviation","turbulence_intensity"
2015-11-08 05:40:00,4.69083333333333,60.8320347791,-0.639166666666667,4,0.0713811114444445,4.55703064870408,0.102502533137184
2015-11-08 05:50:00,5.49055555555556,65.93407158985,-0.751111111111111,4,0.097519258537037,0.612908644074304,0.159603221622307
2015-11-08 06:00:00,5.16777777777778,65.7638192282667,-0.800833333333333,4,0.086386110537037,0.581967161326351,0.173520204075796
2015-11-08 06:10:00,3.44685714285714,65.9019665218629,-0.752857142857143,4,0.0426847615809524,0.414400771639948,0.0870434596013523
2015-11-08 06:20:00,2.75714285714286,66.0654083903429,-0.710952380952381,4,0.0108857141587302,0.493235575233263,0.0958297460475917
2015-11-08 07:20:00,3.12375,63.185535037275,-0.5375,4,0.0103791666666667,0.691277338932864,0.0553885443711195
2015-11-08 07:30:00,3.78166666666667,51.6768782282667,-0.508333333333333,4,0.0355122223703704,2.352338770941,0.0930501035939048
2015-11-08 07:40:00,2.78541666666667,58.997318928,-0.5125,4,0.01318111125,4.35066848459173,0.15987306756268
2015-11-08 09:10:00,3.36411764705882,59.2801567633059,-0.0823529411764706,4,0.0249729412156863,0.963373666352042,0.0575677932268963
2015-11-08 09:20:00,3.6175,59.2020415519667,-0.144444444444444,4,0.0347233334814815,1.03081004990369,0.109592144998296
2015-11-08 09:30:00,3.20852941176471,58.8114631698706,-0.105882352941176,4,0.0214609804705882,0.757978347261651,0.104622159976385
2015-11-08 09:40:00,3.22777777777778,67.0138203916667,-0.17037037037037,4,0.0238046915308642,3.15812151096271,0.0919739657734803
2015-11-08 09:50:00,3.63029411764706,64.6459714294765,-0.182352941176471,4,0.0422541177058824,4.5766008248295,0.129913058982766
2015-11-08 10:00:00,3.8375,58.8615376593,-0.0722222222222222,4,0.0506138888518518,0.870215725589043,0.0631272802334374
2015-11-08 10:10:00,3.55705882352941,58.9917303469412,-0.0911764705882353,4,0.0338192154117647,0.911223055994384,0.102638284924795
2015-11-08 10:20:00,3.85722222222222,58.7934364932,-0.0722222222222222,4,0.0406916664074074,0.79576818124891,0.11132500410971
